Order,Creation Date,Total Value,Client Hash
1475631372068-01,2024-11-10 23:55:40+00:00,318.67,3cac4f83f422e96b3e5dc30ec9047b632f9a218fe39c912f75212007f8a75a36
1475631372068-01,2024-11-10 23:55:40+00:00,318.67,3cac4f83f422e96b3e5dc30ec9047b632f9a218fe39c912f75212007f8a75a36
1475341371945-01,2024-11-09 19:09:43+00:00,277.53,7a11e4ba2acf6d98a3a59cab1a14b3b3a0c0ca64c4f9f421c5a602d7a0df502c
1475341371945-01,2024-11-09 19:09:43+00:00,277.53,7a11e4ba2acf6d98a3a59cab1a14b3b3a0c0ca64c4f9f421c5a602d7a0df502c
1475631372064-01,2024-11-10 23:53:54+00:00,303.54,baf2db60e41b44ebd4fbc2787c4b83bb97dcb2d6ac53bcd81d763e2821564807
1475631372064-01,2024-11-10 23:53:54+00:00,303.54,baf2db60e41b44ebd4fbc2787c4b83bb97dcb2d6ac53bcd81d763e2821564807
1475341371943-01,2024-11-09 18:47:08+00:00,313.28,c11255c3c62becde88d89f8e3ebf73945422922cba0d03bd0930a7259662c5be
1475341371943-01,2024-11-09 18:47:08+00:00,313.28,c11255c3c62becde88d89f8e3ebf73945422922cba0d03bd0930a7259662c5be
1475341371943-01,2024-11-09 18:47:08+00:00,313.28,c11255c3c62becde88d89f8e3ebf73945422922cba0d03bd0930a7259662c5be
1475331371939-01,2024-11-09 17:31:26+00:00,187.07,22f4ec1b697c80e9bbd26aad5392b1a43651d766347236d3944c4accedb3221c
1475331371939-01,2024-11-09 17:31:26+00:00,187.07,22f4ec1b697c80e9bbd26aad5392b1a43651d766347236d3944c4accedb3221c
1475611372060-01,2024-11-10 22:06:47+00:00,399.21,46337998e9402749795c1d56f2647f82dbbcc31b40dfc680bfcd94e6caf6ebaa
1475611372060-01,2024-11-10 22:06:47+00:00,399.21,46337998e9402749795c1d56f2647f82dbbcc31b40dfc680bfcd94e6caf6ebaa
1475611372058-01,2024-11-10 22:03:22+00:00,849.24,3905714cfd6ca353f3d0ce582cc8b0e53365c57db539bca9fa6b25eabb835de2
1475611372058-01,2024-11-10 22:03:22+00:00,849.24,3905714cfd6ca353f3d0ce582cc8b0e53365c57db539bca9fa6b25eabb835de2
1475321371937-01,2024-11-09 17:04:07+00:00,1156.5,eefedab84e255f0f325d1b84b0db774cee2bc00a5b668dadceb520a0c63adb6d
1475321371937-01,2024-11-09 17:04:07+00:00,1156.5,eefedab84e255f0f325d1b84b0db774cee2bc00a5b668dadceb520a0c63adb6d
