client_hash,recency,frequency,monetary
00a2ab981c0aed88fef48cb2fc1bf4cc011510569e9fd993e5c3c80fcb0780a4,235,2,697.25
00a492ac8ae75a3f43a1e47d42c1c681bed431b1fad6993ccd1123d40e48da31,339,2,487.73
00a5c6e428cf6d52bebae02a202bc97d35e15f1a795fc1192207e01bfba2162d,399,1,162.68
00a74fbed2fe7128ab7da42643894458267cdf05c8e2033f61e7faf7eabd451c,491,1,155.42
00a7576256ae42cab60bb4ace9cf62906f191424ed838995ced3e36fd8ec084b,556,1,162.66
00a83acc1c3a79fff30baebc8b2322e69f51c6107ebcb2773c4df38b313e3be9,142,1,432.31
00abbb3ce8eb41cee0a5e35004c991ecf8343461187e74cebc27ecf2123aa66c,612,1,128.52
00ac0b6571bcf69d7b54fbd168c87c1f940080d08804793925013b48a5a54f80,355,1,164.51
00af8a173d758dcf75b27d54cd7c65e2465489d9d52891afba66b2dd082bc750,461,1,193.16
00b7af9aebe3c7d1c26cfb48199041347426acac3e713cff1bbe08c136a27138,610,1,292.76
00b875215c672535a1f90564e6537723f4637ac18af8ef6b306d095fdcf5b3e7,395,1,151.03
00b87a33fa744e03df12e61f31b0c053f622978503ca0d829abc6a5c47abc554,515,1,186.95
00ba4431f4ee832d8d1aaa313ecf1e574229fb75dee4fd0c405d56f065d6d8eb,51,1,450.0
00bae0253e4ae03e5e141c2d272c4e2e936e2df463f754ba2c23de1363e7ca9c,427,1,111.92
00bc07617709143eb7ffb050c9de6e4c83a41d319a174cb3ca648df6d3d68362,672,1,1028.61
00bcb54fcfee44c3522f48e7414af98a2168dc535fd4b7b087c6f07d7ea43e7a,616,1,118.16
00bd6ac308bf7e8610ca4cd65aa7fcea2aeadc8ffdc04d7518129ef67eebe59c,363,1,104.97
00bf4f7a6735d33e9f454ddb6a0f0ba07f1ef58f16c3a679eed857c62d9dfa8b,235,1,162.02
00c1b3f155359d877224e39b1c04f1fbf3c8816c4828f2805b0e2da7e15b1976,221,1,172.97
00c353e0d165828b3428cf1a7b5157f7113ff7b771d504e00797d40b6b981bc2,665,1,96.76
00c359052923753147c079b2578620435a14cd1d160505db49972a14ebb70bf1,470,2,556.01
00c3d713dfae81f790b509d85c3a5c69cda3ac7684880f87ec8c50b4a3513505,464,4,634.39
00c4e0b8d0a3025879dbc0de95691f39b868fa1843f0458dc8c1b4897663f161,390,1,185.98
00c4f96de10f5bcd93f62bb18923e3216c3017195439ef8c4ac0004fcc2ddd30,494,1,265.9
00c6a1089b8df3294f310122f438a5439d4b64d4a501c985c167ce3ab2eb9fb8,542,1,112.73
00c7a5d8cbd5c06448855b54f1b823e916a0c42f3ccd80c6158b886069bec82e,234,1,314.72
00c90b2c9db13bb4b65c4e20c4b7ad14be378cad05fe100a20dd870c97dabaa6,387,1,309.17
00c9911210210a6e06a03dcb27d80c48612b0e502bde48c1289f44816478dbb5,524,1,459.0
00cc4c26a7978f37bbb03662ff75a05217c9dd1f7ed0e7b9409b883799fd214e,210,1,152.28
00cdde76557e47a41573d629254648bc5f529aad06dff3b971652496967f1760,352,2,1138.42
00cef94d28cc816d19afc1443c220b5b927d4883338df5be8927303290b45c05,522,1,114.44
